Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
Q9ZM70	BAC0635	copP	Chromosome	Helicobacter pylori (strain J99 / ATCC 700824) (Campylobacter pylori J99)	Copper (Cu)	Copper ion-binding protein. Part of a cation-transporting system which is associated with copper export out of the H. pylori cells.
Q02540	BAC0083	copR	"Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pPaCu1 (Pseudomonas syringae)"	Pseudomonas syringae pv. Tomato	Copper (Cu)	Transcriptional activator protein CopR; Member of the two-component regulatory system CopS/CopR. Involved in the activation of copper resistance gene operon CopABCD. Phosphorylation of CopR by CopS would convert it into an active state to induce Expression of the cop operon by binding to a specific site on the cop operon promoter (cop box) and possibly by facilitating the binding of RNA polymerase to the cop promoter. CopR also binds to the chromosomally encoded cop operon promoter. May also be involved in basic copper metabolism.
C6FFR4	BAC0638	copR	Chromosome	Pseudomonas fluorescens	Copper (Cu)	"Member of the two-component regulatory system CopS/CopR. May also be involved in basic copper metabolism. Expression of copCD is regulated directly by the two-component response regulator CopR, which also regulates its own expression in Pseudomonas fluorescens."
D4PBS0	BAC0719	copR	Chromosome	Achromobacter sp. AO22	Copper (Cu)	Two-component heavy metal response regulator
Q7X4F8	BAC0753	copR	Chromosome	Xanthomonas euvesicatoria	Copper (Cu)	copR
B2CQV6	BAC0757	copR	Chromosome	Sulfolobus solfataricus 98/2	Copper (Cu)	copR
C6FFR5	BAC0637	copS	Chromosome	Pseudomonas fluorescens	Copper (Cu)	Member of the two-component regulatory system CopS/CopR. May also be involved in basic copper metabolism.
Q02541	BAC0537	copS	"Plasmid pPT23D (Pseudomonas syringae pv. Tomato), Plasmid pPaCu1 (Pseudomonas syringae)"	Pseudomonas syringae	Copper (Cu)	Sensor protein CopS. Member of the two-component regulatory system CopS/CopR. Involved in the activation of copper resistance gene operon copABCD. Specifically recognizes or transduces a signal only in response to copper. This would lead to phosphorylation of CopR in the cytoplasm. CopS/CopR may also regulate chromosomally encoded genes. May also be involved in basic copper metabolism.
D4PBR9	BAC0720	copS	Chromosome	Achromobacter sp. AO23	Copper (Cu)	Sensor protein
Q7X4F9	BAC0752	copS	Chromosome	Xanthomonas euvesicatoria	Copper (Cu)	Sensor protein
F4ZBX1	BAC0744	cop-unnamed	Chromosome	Xanthomonas citri subsp. Citri	Copper (Cu)	Hypothetical transcriptional repressor
Q7X4G1	BAC0750	cop-unnamed	Chromosome	Xanthomonas euvesicatoria	Copper (Cu)	Uncharacterized protein
Q1LA62	BAC0756	copV	Plasmid	Cupriavidus metallidurans CH34	Copper (Cu)	CopV involved in Cu(II)/Cu(I) resistance
Q47839	BAC0084	copY/tcrY	Chromosome	Enterococcus hirae	Copper (Cu)	"CopA and CopB upstream repressor CopY, regulates the cop operon; Binds to DNA in complex with Zn2+, repressing the transcription of the CopYZAB operon. Exchange of the bound zinc by two copper ions delivered by CopZ Cu1+-bound form causes release of CopY from the promoter, leading to the transcription of the operon"
Q47840	BAC0085	copZ	Chromosome	Enterococcus hirae	Copper (Cu)	"Copper chaperone CopZ; copA and copB  anti-repressor, regulates the cop operon"
O32221	BAC0724	copZ	Chromosome	Bacillus subtilis	Copper (Cu)	Copper chaperone CopZ
Q2FV63	BAC0731	copZ	Chromosome	Staphylococcus aureus	Copper (Cu)	Copper chaperone CopZ
P0ABI4	BAC0086	corA	Chromosome	Escherichia coli (strain K12)	"Magnesium (Mg), Cobalt (Co), Nickel (Ni), Manganese (Mn)"	"Mediates influx of magnesium ions. Can also mediate cobalt and manganese uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
P0A2R8	BAC0641	corA	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Magnesium (Mg), Cobalt (Co), Nickel (Ni), Manganese (Mn)"	"Mediates both influx and efflux of magnesium ions. Can also mediate cobalt and nickel uptake, albeit only at extracellular concentrations that are toxic to the cell. Does not transport iron."
Q9X621	BAC0643	corB	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Cobalt (Co), Magnesium (Mg)"	"Magnesium-transporting ATPase, P-type 1; Mediates magnesium influx to the cytosol."
P0A2L3	BAC0088	corC	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Cobalt (Co), Magnesium (Mg)"	Magnesium and cobalt efflux protein CorC; Plays a role in the transport of magnesium and cobalt ions
Q56017	BAC0644	corD	Chromosome	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	"Cobalt (Co), Magnesium (Mg)"	mutations in apaG/corD give a phenotype of low-level Co2+ resistance. They also decrease Mg2+ efflux but not influx via the CorA Mg2+ transport system.
Q1D6V8	BAC0089	corR	Chromosome	Myxococcus xanthus (strain DK 1622)	Copper (Cu)	"Sigma-54 dependent DNA-binding response regulator CorR; corSR copper-responsive two component system that induces carotenoid production. It also regulates three multicopper oxidases: cuoA, cuoB, cuoC, and two P-type ATPases: copA and copB."
H0P0Y2	BAC0090	corR/coaR	Chromosome	Synechocystis sp. PCC 6803 substr. GT-I	"Cobalt (Co), Magnesium (Mg)"	"Cobalt-dependent transcriptional regulator, CorR"
Q1D6V7	BAC0091	corS	Chromosome	Myxococcus xanthus (strain DK 1622)	Copper (Cu)	"Sensor histidine kinase CorS; corSR copper-responsive two component system that induces carotenoid production. It also regulates three multicopper oxidases: cuoA, cuoB, cuoC, and two P-type ATPases: copA and copB."
H0P0Y3	BAC0092	corT/coaT	Chromosome	Synechocystis sp. PCC 6803 substr. GT-I	Cobalt (Co)	"Cation-transporting ATPase E1-E2 ATPase, CorT"
C4WZK5	BAC0532	cpxA	Chromosome	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	"Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]"	"Sensor protein of stress-related two-component regulatory system of CpxAR. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
C4WZK6	BAC0533	cpxR	Chromosome	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	"Hydrogen Peroxide (H2O2) [class: Peroxides], Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Chlorhexidine [class: Biguanides]"	"Response regulator of stress-related two-component regulatory system. It has role in oxidative stress tolerance. It has a  regulatory role on MDR efflux pumps. It can confer resistance to cefepime, cefotaxime, ceftazidime and chloramphenicol which possibly are the preferred substrates of the resistance determinants for e.g. efflux pumps perhaps regulated by the Cpx regulon."
O25884	BAC0093	crdA	Chromosome	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Copper (Cu)	"Copper resistance determinant, CrdA. It is required for adaptation to copper-rich environmental conditions."
O25885	BAC0094	crdB	Chromosome	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Copper (Cu)	"Putative copper resistance determinant, CrdC. It is required for adaptation to copper-rich environmental conditions."
O25918	BAC0095	crdR	Chromosome	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Copper (Cu)	Response regulator; part of two-component regulatory system crdR/crdS
O25917	BAC0096	crdS	Chromosome	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	Copper (Cu)	Histidine kinase sensor protein;  part of two-component regulatory system crdR/crdS
O32222	BAC0558	csoR	Chromosome	Bacillus subtilis 168	Copper (Cu)	"Copper-sensing transcriptional repressor CsoR. Copper-sensitive repressor that has a key role in copper homeostasis. Negatively regulates expression of the copZA operon and of ycnJ. In the absence of copper ions, binds with high affinity to the copZA promoter and represses the transcription. In the presence of copper ions, CsoR binds Cu1+, which significantly decreases its DNA binding affinity and leads to the transcription of the genes. Cells lacking this gene display a slightly enhanced ability to grow into medium containing high levels of copper."
P0A502	BAC0098	ctpC	Chromosome	Mycobacterium tuberculosis	"Manganese (Mn), Zinc (Zn)"	Probable manganese/zinc-exporting P-type ATPase
A0R3A7	BAC0099	ctpD	Chromosome	Mycobacterium smegmatis	"Cobalt (Co), Nickel (Ni)"	Probable cobalt/nickel-exporting P-type ATPase; Involved in heavy metal homeostasis. Probably exports nickel and cobalt ions out of the cell.
P63689	BAC0100	ctpG	Chromosome	Mycobacterium tuberculosis	Copper (Cu)	Cation-transporting ATPase G; Response to copper ion
P77894	BAC0101	ctpV	Chromosome	Mycobacterium tuberculosis	Copper (Cu)	Copper-exporting P-type ATPase V; Necessary for copper homeostasis and likely functions as a copper exporter. Also required for full virulence.
Q8KWW2	BAC0102	cueA	Chromosome	Pseudomonas putida (Arthrobacter siderocapsulatus)	"Copper (Cu), Silver (Ag)"	Copper transporter CueA; Periplasmic protein
P36649	BAC0103	cueO	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	Copper efflux oxidase (blue copper oxidase); Involved in periplasmic detoxification of copper by oxidizing Cu+ to Cu2+ and thus preventing its uptake into the cytoplasm. Possesses phenoloxidase and ferroxidase activities and might be involved in the production of polyphenolic compounds and the prevention of oxidative damage in the periplasm.
Q8ZL99	BAC0104	cueP	Chromosome	Salmonella enterica serovar Typhimurium	Copper (Cu)	"Periplasmic copper-binding protein and has been implicated in the transfer of copper ions to SodCII in the periplasm; evolved to survive in the phagosomes of macrophages in Salmonella enterica serovar Typhimurium; CueP can functionally replace the Cus complex for periplasmic copper resistance, in particular under anaerobic conditions; CueP does not confer silver or gold resistance to Salmonella"
O07586	BAC0736	cueR	Chromosome	Bacillus subtilis	Copper (Cu)	HTH-type transcriptional regulator CueR
P0A9G4	BAC0105	cueR/ybbI	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	Regulates the transcription of the copA and cueO genes. It detects cytoplasmic copper stress and activates transcription in response to increasing copper concentrations. CueR is a direct regulator of copZA transcription that mediates copper induction
Q8ZRS2	BAC0106	cuiD	Chromosome	Salmonella enterica serovar Typhimurium	"Copper (Cu), Hydrogen Peroxide (H2O2) [class: Peroxides]"	A multi-copper oxidase gene code for Cu-inducible periplasmic protein; CuiD is required for both copper homeostasis and the copper resistance response in the presence and in the absence of oxygen; Probably involved in periplasmic detoxification of copper by oxidizing Cu+ to Cu2+ and thus preventing its uptake into the cytoplasm; cuiD may be involved in oxidative stress response
P38054	BAC0107	cusA/ybdE	"Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),"	Escherichia coli (strain K12)	"Copper (Cu), Silver (Ag)"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver; located in cell inner membrane; Belongs to the AcrB/AcrD/AcrF family"
P77239	BAC0108	cusB	"Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)),"	Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)	"Copper (Cu), Silver (Ag)"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver; Belongs to the membrane fusion protein (MFP) family"
P77211	BAC0109	cusC/ylcB	Plasmid megaplasmid CH34 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839))	Escherichia coli (strain K12)	"Copper (Cu), Silver (Ag)"	"Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver"
P77214	BAC0110	cusF/cusX	"Plasmid pkPN3 (Klebsiella pneumoniae subsp. pneumoniae MGH 78578), Plasmid pAPEC-O2-R"	Escherichia coli (strain K12)	"Copper (Cu), Silver (Ag)"	"Cation efflux system periplasmic protein CusF; Part of a cation efflux system (CusA, CusB, CusC and CusF) that mediates resistance to copper and silver. Binds one copper per polypeptide ; located in Periplasm"
P0ACZ8	BAC0111	cusR/ylcA	Plasmid pECL_A (Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56))	Escherichia coli (strain K12)	"Copper (Cu), Silver (Ag)"	"Member of the two-component regulatory system CusS/CusR. Activates the Expression of cusCFBA and plasmid pRJ1004 gene pcoE in response to increasing levels of copper ions, and probably silver ions. Can also increase the basal-level Expression of copper resistance gene operon pcoABCD; located in cytoplasm"
P77485	BAC0112	cusS	Chromosome	Escherichia coli (strain K12)	"Copper (Cu), Silver (Ag)"	Sensor kinase CusS; Member of the two-component regulatory system CusS/CusR. Copper ion sensor. Could also be a silver ion sensor. Activates CusR by phosphorylation; located in inner cell membrane
P69488	BAC0113	cutA	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	Divalent-cation tolerance protein CutA; Involved in resistance toward heavy metals
P67826	BAC0114	cutC	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	Copper homeostasis protein CutC; Involved in copper homeostasis; Located in cytoplasm
P23930	BAC0115	cutE/lnt	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	"Apolipoprotein N-acyltransferas, it attaches a fatty acid to apo-nlpE (cutF)"
P40710	BAC0116	cutF/nlpE	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	"Copper homeostasis protein CutF, encodes for outer membrane lipoprotein might affect on copper permeability; Involved in copper homeostasis. Could be involved in both copper efflux and the delivery of copper to copper-dependent enzymes. When overproduced induces degP through the activation of the two-component system CpxA/CpxR"
D5AV58	BAC0117	cutO	Chromosome	Rhodobacter capsulatus	Copper (Cu)	"Multi copper oxidase CutO; Involved in copper resistance; CutO confers copper tolerance not only under aerobic conditions, as described for the well-characterized E. coli multicopper oxidase CueO, but also under anaerobic conditions."
D5AV59	BAC0118	cutR	Chromosome	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	Copper (Cu)	"CutR acts as a repressor of cutO Expression under low copper concentrations; Member of the two-component regulatory system CutS/CutR, involved in the regulation of copper metabolism."
P13511	BAC0119	czcA	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"Cobalt-zinc-cadmium resistance protein; the basic inner membrane transport protein; Has a low cation transport activity for cobalt, it is essential for the expression of cobalt, zinc, and cadmium resistance. CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete CZC efflux system (CzcABC)."
P13510	BAC0120	czcB	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	Cobalt-zinc-cadmium resistance protein CzcB; Membrane fusion protein bridges inner and outer cell membranes (in periplasm); CzcA and CzcB together would act in zinc efflux nearly as effectively as the complete czc efflux system (CzcABC). The CzcB protein is thought to funnel zinc cations to the CzcA transport protein.
P13509	BAC0121	czcC	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"Muter membrane protein; CzcC protein appears to modify the specificity of the system, perhaps by acting on the CzcB protein. When the CzcC protein is added to CzcA and CzcB, the efflux system gains specificity for cadmium and cobalt."
Q7X4G0	BAC0751	czcC	Chromosome	Xanthomonas euvesicatoria	Copper (Cu)	Uncharacterized protein
P13512	BAC0122	czcD	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	Transporter gene influence Zn++ and Cd++ resistance; Necessary for activation of the czc determinant; may function as a membrane-bound sensor protein or as a metal ion transporter.
Q1LAJ1	BAC0123	czcE	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"CzcE, involved in Cd(II), Zn(II), Co(II) resistance; copH like protein; Co/Zn/Cd efflux system transmembrane protein"
Q1LAJ7	BAC0124	czcP	Plasmid pMOL30 (Cupriavidus metallidurans CH34)	Cupriavidus metallidurans CH34	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"P(IB4)-type ATPases; CzcP seemed to enhance metal resistance but relies on the action of the P(IB2)-type ATPases such as zntA, cadA, pbrA etc."
Q44006	BAC0125	czcR	"Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) ),"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"Transcriptional activator protein CzcR; Member of the two-component regulatory system CzcS/CzcR involved in the control of cobalt, zinc and cadmium homeostasis"
Q44007	BAC0126	czcS	Plasmid pMOL30 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) )	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM 2839)	"Cadmium (Cd), Zinc (Zn), Cobalt (Co)"	"Sensor protein CzcS; Member of the two-component regulatory system CzcS/CzcR involved in the control of cobalt, zinc and cadmium homeostasis. Probably activates CzcR by phosphorylation."
D3UHQ0	BAC0127	cznA	Chromosome	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198)(Campylobacter mustelae)	"Cadmium (Cd), Zinc (Zn), Nickel (Ni)"	Cadmium-zinc-nickel resistance protein cznA
D3UHP9	BAC0128	cznB	Chromosome	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198)(Campylobacter mustelae)	"Cadmium (Cd), Zinc (Zn), Nickel (Ni)"	Cadmium-zinc-nickel resistance protein cznB
D3UHP8	BAC0129	cznC	Chromosome	Helicobacter mustelae (strain ATCC 43772/LMG 18044/NCTC 12198/12198) (Campylobacter mustelae)	"Cadmium (Cd), Zinc (Zn), Nickel (Ni)"	Cadmium-zinc-nickel outer membrane efflux protein cznC
Q9RLI8	BAC0130	czrA	Chromosome	Pseudomonas aeruginosa	"Zinc (Zn), Cadmium (Cd)"	A repressor for thr czr operon; part of the czrSRCBA resistance operon
Q9RLI9	BAC0131	czrB	Chromosome	Pseudomonas aeruginosa	"Zinc (Zn), Cadmium (Cd)"	czrB involved in cadmium and zinc resistance; part of the czrSRCBA resistance operon
Q1LRZ2	BAC0132	dmeF	Plasmid pMOL28 (Wautersia metallidurans CH34)	Wautersia metallidurans CH34	"Cobalt (Co), Cadmium (Cd), Nickel (Ni)"	DmeF is a broad-range metal ion transporter that functions in E. coli and W. metallidurans. dmeF plays the central role in cobalt homeostasis in Wautersia metallidurans CH34.
Q1MJL2	BAC0482	dmeF	Chromosome	Rhizobium leguminosarum bv. viciae UPM791	"Cobalt (Co), Nickel (Ni)"	Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. 
Q1MJL3	BAC0475	dmeR	Chromosome	Rhizobium leguminosarum bv. viciae UPM791	"Cobalt (Co), Nickel (Ni)"	Member of the dmeRF efflux system which is a metal responsive efflux system acts as a key element for metal homeostasis in Rhizobium leguminosarum under free-living and symbiotic conditions. 
P0CB53	BAC0134	dpr/dps	Chromosome	Streptococcus suis	"Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]"	"DNA protection during starvation protein; Protects DNA from oxidative damage by sequestering intracellular Fe2+ ion and storing it in the form of Fe3+ oxyhydroxide mineral. One hydrogen peroxide oxidizes two Fe2+ ions, which prevents hydroxyl radical production by the Fenton reaction. It binds and incorporates Fe2+ iron. Is responsible for hydrogen peroxide resistance. Does not bind DNA."
Q8KR86	BAC0135	dpsA	Chromosome	Burkholderia pseudomallei 1710b	"Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides]"	"dpsA respsonses to stress, iron-binding protein; has role in iron ion homeostasis"
P0AEG4	BAC0136	dsbA	Chromosome	Escherichia coli (strain K12)	"Cadmium (Cd), Zinc (Zn), Mercury (Hg)"	Disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA. Acts by transferring its disulfide bond to other proteins and is reduced in the process. DsbA is reoxidized by DsbB. It is required for pilus biogenesis
P0A6M2	BAC0137	dsbB	Chromosome	Escherichia coli (strain K12)	"Cadmium (Cd), Mercury (Hg)"	Disulfide oxidoreductase; The dsbB gene codes for a transmembrane protein that is responsible for reoxidizing the periplasmic dsbA-encoded disulfide oxidoreductase; Required for disulfide bond formation in some periplasmic proteins such as PhoA or OmpA
P0AEG6	BAC0138	dsbC	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	"Disulfide isomerase; DsbC rearranges incorrect disulfide bonds formed by dsbA during oxidative protein folding under non-stress conditions. DsbC, a periplasmic thiol-disulfide oxidoreductase, appears to function as a disulfide isomerase both in vitro and in vivo. In vitro, DsbC has been shown to rearrange non-native disulfides in well studied isomerization substrates such as BPTI and RNase A. In vivo, DsbC is required for full activity of a handful of proteins containing at least one non-consecutive disulfide bond."
P0CW81	BAC0139	ebrA	Chromosome	Bacillus subtilis	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Pyronin Y [class: Xanthene], Safranin O [class: Azin]"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of proton"
P0CW83	BAC0140	ebrB	Chromosome	Bacillus subtilis	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Pyronin Y [class: Xanthene], Safranin O [class: Azin]"	"Part of a multidrug efflux pump. Confers resistance to cationic lipophilic dyes such as ethidium bromide, Acriflavine, pyronin Y and safranin O. The efflux is probably coupled to an influx of protons"
A8CY69	BAC0494	eefA	Chromosome	Klebsiella pneumoniae LM21	Hydrochloric acid (HCl) [class: Acid]	"A periplasmic intermediate, EefA. Part of the EefXABC operon. The tripartite efflux system confers measurable ecological benefits in K. pneumoniae with high competition potential on surviving in inorganic acid environments."
A8CY68	BAC0495	eefX	Chromosome	Klebsiella pneumoniae LM21	Hydrochloric acid (HCl) [class: Acid]	Part of eefXABC operon in K. pneumoniae. This gene is absent in the similar efflux system eefABC in other bacteria (such as Enterobacter aerogenes). Comaparative study suggests that it could be a regulator of the EefABC tripartite efflux system. The tripartite efflux system confers measurable ecological benefits in K. pneumoniae with high competition potential on surviving in inorganic acid environments.
Q8GR72	BAC0141	emeA	Chromosome	"Only gram -ve, Enterococcus faecalis (Streptococcus faecalis)"	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]	Multidrug efflux pump emeA
Q4KH22	BAC0142	emhA	Chromosome	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	"Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Efflux transporter, membrane fusion protein subunit EmhA"
C1KA85	BAC0143	emhB	Chromosome	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	"Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Protein export membrane protein emhB
Q4KH24	BAC0144	emhC	Chromosome	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	"Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Efflux transporter, outer membrane factor lipoprotein EmhC"
Q4KH21	BAC0145	emhR	Chromosome	Pseudomonas fluorescens (strain Pf-5 / ATCC BAA-477)	"Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Regulator of emhABC efflux system, EmhR"
D5CJ69	BAC0146	emmdR	Chromosome	Enterobacter cloacae	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Rhodamine 6G [class: Xanthene]"	MATE efflux family protein; EmmdR is an H+-drug antiporter but not a Na+ driven efflux pump
P27303	BAC0147	emrA	Chromosome	Escherichia coli (strain K12)	"Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]"	The emr locus confers resistance to substances of high hydrophobicity. EmrA probably participate in a transport system to extrude toxins and drugs from the cell.
B2FIC9	BAC0499	emrAsm	Chromosome	Stenotrophomonas maltophilia (strain K279a)	"Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
P0AEJ0	BAC0148	emrB	Chromosome	Escherichia coli (strain K12)	"Phenylmercury Acetate [class: Organo-mercury], 2-Chlorophenylhydrazine [class: Hydrazine], Carbonylcyanide m-chlorophenyl hydrazone (CCCP) [class: Hydrazone]"	"Multidrug resistance protein B, Located in cell inner membrane, Translocase that confers resistance to substances of high hydrophobicity"
B2FID0	BAC0500	emrBsm	Chromosome	Stenotrophomonas maltophilia (strain K279a)	"Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]"	"Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities. EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
B2FIC8	BAC0501	emrCsm	Chromosome	Stenotrophomonas maltophilia (strain K279a)	"Carbonyl cyanide 3-chlorophenylhydrazone (CCCP) [class: Hydrazone], Tetrachlorosalicylanilide (TCS) [class: Salicylanilide]"	"Outer membrane protein EmrCsm. Part of EmrCABsm efflux pump which is a similar pump found in E. coli (EmrCAB) with below 50% amino acid identities.  EmrCsm and EmrAB are essential for the function of the EmrCABsm pump. EmrCABsm pump may have a physiological role in evading naturally produced molecules from the environment or host-derived compounds, rather than in antimicrobial extrusion, allowing S. maltophilia to survive in its ecological niche. It can confer resistance to hydrophobic antibiotics nalidixic acid and erythromycin. "
P31442	BAC0149	emrD	Chromosome	Escherichia coli (strain K12)	"Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	Multidrug resistance pump that participates in a low energy shock adaptative response
A5EYZ6	BAC0534	emrD-3	Chromosome	Vibrio cholerae O395	"Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)], Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"It is an intrinsic membrane protein. Multidrug resistance protein D. EmrD-3-mediated efflux is potentiated by a proton gradient across the membrane. It can confer resistance to antibiotics such as linezolid, rifampin, minocycline etc."
